"","RandomForest","SVM","Logistic","KNN","NaiveBayes"
"RandomForest",1,0.959664197294418,0.745610502305377,0.795755085661208,0.899801441742825
"SVM",0.959664197294418,1,0.758328574665286,0.816991382570257,0.907390084489276
"Logistic",0.745610502305377,0.758328574665286,1,0.684713264023349,0.681630449265653
"KNN",0.795755085661208,0.816991382570257,0.684713264023349,1,0.780612186730212
"NaiveBayes",0.899801441742825,0.907390084489276,0.681630449265653,0.780612186730212,1
