"","RandomForest","SVM","Logistic","KNN","NaiveBayes"
"RandomForest",1,0.913674759299382,0.88381920702476,0.897681102785407,0.870309201135228
"SVM",0.913674759299382,1,0.898235395914605,0.889851249011638,0.853453667497322
"Logistic",0.88381920702476,0.898235395914605,1,0.868918996951174,0.838879247181326
"KNN",0.897681102785407,0.889851249011638,0.868918996951174,1,0.851189941107051
"NaiveBayes",0.870309201135228,0.853453667497322,0.838879247181326,0.851189941107051,1
