"","RandomForest","SVM","Logistic","KNN","NaiveBayes"
"RandomForest",1,0.772190176549227,0.864150312771209,0.838876794136851,0.106443218752111
"SVM",0.772190176549227,1,0.771492558320108,0.694822237576773,0.0897015964051416
"Logistic",0.864150312771209,0.771492558320108,1,0.895530490624733,0.128027631222171
"KNN",0.838876794136851,0.694822237576773,0.895530490624733,1,0.123738315010788
"NaiveBayes",0.106443218752111,0.0897015964051416,0.128027631222171,0.123738315010788,1
