"Model","Accuracy","AUC","Precision","Recall","F1","Time_sec"
"RandomForest",0.9429,0.968,0.9362,0.9778,0.9565,1.06
"SVM",0.9286,0.9662,0.9348,0.9556,0.9451,0.21
"Stacking (Ridge)",0.9286,0.9698,0.9545,0.9333,0.9438,3.41
"Stacking (XGBoost)",0.9286,0.9782,0.9348,0.9556,0.9451,2.81
"NaiveBayes",0.9,0.9573,0.9524,0.8889,0.9195,0.39
"Blending (Ridge)",0.9,0.9653,0.9524,0.8889,0.9195,1.1
"Blending (XGBoost)",0.9,0.92,0.9524,0.8889,0.9195,1.1
"KNN",0.8286,0.8884,0.8113,0.9556,0.8776,0.31
"Logistic",0.8,0.8062,0.7818,0.9556,0.86,0.14
