"","RandomForest","SVM","Logistic","KNN","NaiveBayes"
"RandomForest",1,0.968356651920599,0.95731236793716,0.948255373384027,0.919722904638435
"SVM",0.968356651920599,1,0.977732763105802,0.949650651298159,0.915070970026276
"Logistic",0.95731236793716,0.977732763105802,1,0.949587184225428,0.91977322604578
"KNN",0.948255373384027,0.949650651298159,0.949587184225428,1,0.939415800268274
"NaiveBayes",0.919722904638435,0.915070970026276,0.91977322604578,0.939415800268274,1
